Checkpoint,Dice Score
checkpoint_epoch43.pth,"tensor(0.6528, device='cuda:0')"
checkpoint_epoch46.pth,"tensor(0.6412, device='cuda:0')"
checkpoint_epoch34.pth,"tensor(0.6391, device='cuda:0')"
checkpoint_epoch20.pth,"tensor(0.6330, device='cuda:0')"
checkpoint_epoch30.pth,"tensor(0.6318, device='cuda:0')"
checkpoint_epoch49.pth,"tensor(0.6308, device='cuda:0')"
checkpoint_epoch16.pth,"tensor(0.6306, device='cuda:0')"
checkpoint_epoch37.pth,"tensor(0.6305, device='cuda:0')"
checkpoint_epoch31.pth,"tensor(0.6289, device='cuda:0')"
checkpoint_epoch11.pth,"tensor(0.6286, device='cuda:0')"
checkpoint_epoch48.pth,"tensor(0.6285, device='cuda:0')"
checkpoint_epoch35.pth,"tensor(0.6268, device='cuda:0')"
checkpoint_epoch44.pth,"tensor(0.6233, device='cuda:0')"
checkpoint_epoch32.pth,"tensor(0.6220, device='cuda:0')"
checkpoint_epoch9.pth,"tensor(0.6214, device='cuda:0')"
checkpoint_epoch36.pth,"tensor(0.6210, device='cuda:0')"
checkpoint_epoch19.pth,"tensor(0.6202, device='cuda:0')"
checkpoint_epoch6.pth,"tensor(0.6198, device='cuda:0')"
checkpoint_epoch22.pth,"tensor(0.6198, device='cuda:0')"
checkpoint_epoch41.pth,"tensor(0.6186, device='cuda:0')"
checkpoint_epoch42.pth,"tensor(0.6184, device='cuda:0')"
checkpoint_epoch29.pth,"tensor(0.6172, device='cuda:0')"
checkpoint_epoch7.pth,"tensor(0.6162, device='cuda:0')"
checkpoint_epoch23.pth,"tensor(0.6161, device='cuda:0')"
checkpoint_epoch21.pth,"tensor(0.6161, device='cuda:0')"
checkpoint_epoch26.pth,"tensor(0.6156, device='cuda:0')"
checkpoint_epoch50.pth,"tensor(0.6129, device='cuda:0')"
checkpoint_epoch40.pth,"tensor(0.6124, device='cuda:0')"
checkpoint_epoch28.pth,"tensor(0.6123, device='cuda:0')"
checkpoint_epoch15.pth,"tensor(0.6122, device='cuda:0')"
checkpoint_epoch25.pth,"tensor(0.6118, device='cuda:0')"
checkpoint_epoch14.pth,"tensor(0.6116, device='cuda:0')"
checkpoint_epoch27.pth,"tensor(0.6113, device='cuda:0')"
checkpoint_epoch38.pth,"tensor(0.6100, device='cuda:0')"
checkpoint_epoch39.pth,"tensor(0.6097, device='cuda:0')"
checkpoint_epoch47.pth,"tensor(0.6097, device='cuda:0')"
checkpoint_epoch33.pth,"tensor(0.6090, device='cuda:0')"
checkpoint_epoch24.pth,"tensor(0.6075, device='cuda:0')"
checkpoint_epoch10.pth,"tensor(0.6062, device='cuda:0')"
checkpoint_epoch4.pth,"tensor(0.6042, device='cuda:0')"
checkpoint_epoch12.pth,"tensor(0.6033, device='cuda:0')"
checkpoint_epoch45.pth,"tensor(0.6026, device='cuda:0')"
checkpoint_epoch17.pth,"tensor(0.6006, device='cuda:0')"
checkpoint_epoch18.pth,"tensor(0.5991, device='cuda:0')"
checkpoint_epoch13.pth,"tensor(0.5975, device='cuda:0')"
checkpoint_epoch5.pth,"tensor(0.5967, device='cuda:0')"
checkpoint_epoch8.pth,"tensor(0.5846, device='cuda:0')"
checkpoint_epoch3.pth,"tensor(0.5769, device='cuda:0')"
checkpoint_epoch2.pth,"tensor(0.5726, device='cuda:0')"
checkpoint_epoch1.pth,"tensor(0.5585, device='cuda:0')"
